theme,reading_order,authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,is_retracted,relevance_note
5. Machine-learning postprocessing,,Aaron Van Poecke et al.,2025,Self-Attentive Transformer for Fast and Accurate Postprocessing of Temperature and Wind Speed Forecasts,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0127.1,,1,False,False,"Transformer postprocessing all lead times jointly on EUPPBench; 16.5% CRPS gain for 2m temperature over raw, beating member-by-member benchmark."
6. Benchmarks and distribution-free calibration,,Alexander Henzi et al.,2021,Isotonic Distributional Regression,Journal of the Royal Statistical Society Series B (Statistical Methodology),10.1111/rssb.12450,,47,False,False,Isotonic distributional regression - the theory behind EasyUQ and IDR benchmarks.
6. Benchmarks and distribution-free calibration,8,Jonathan Demaeyer et al.,2023,The EUPPBench postprocessing benchmark dataset v1.0,Earth system science data,10.5194/essd-15-2635-2023,,25,False,False,"EUPPBench: the standard open benchmark dataset of aligned ECMWF ensemble forecasts and station observations, with a 2m temperature baseline suite."
6. Benchmarks and distribution-free calibration,,Jakob Benjamin Wessel et al.,2024,Lead‐time‐continuous statistical postprocessing of ensemble weather forecasts,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4701,,5,False,False,Lead-time-continuous postprocessing: one model across lead times instead of one model per lead time. Directly reduces the number of fits needed.
6. Benchmarks and distribution-free calibration,10,Eva‐Maria Walz et al.,2024,Easy Uncertainty Quantification (EasyUQ): Generating Predictive Distributions from Single-Valued Model Output,SIAM Review,10.1137/22m1541915,,10,False,False,EasyUQ / isotonic distributional regression: turns a SINGLE-VALUED forecast into a calibrated distribution with almost no tuning. The natural baseline for a deterministic AI model.
"7. Multi-station design: semi-local, pooled, unseen locations",6,Sebastian Lerch et al.,2015,Similarity-based semi-local estimation of EMOS models,Journal of the Royal Statistical Society Series C (Applied Statistics),10.1111/rssc.12153,1509.03521,3,False,False,"Semi-local EMOS: augment each station's training data with data from SIMILAR stations, chosen by distance or by clustering on climatology and forecast-error features. The central answer to per-station vs pooled."
"7. Multi-station design: semi-local, pooled, unseen locations",,A. H. Winstral et al.,2016,Statistical Downscaling of Gridded Wind Speed Data Using Local Topography,Journal of Hydrometeorology,10.1175/jhm-d-16-0054.1,,69,False,False,Statistical downscaling of gridded wind using local topography descriptors - the terrain-predictor construction pattern.
"7. Multi-station design: semi-local, pooled, unseen locations",,Sándor Baran et al.,2024,Clustering-Based Spatial Interpolation of Parametric Postprocessing Models,Weather and Forecasting,10.1175/waf-d-24-0016.1,,4,False,False,Clustering-based spatial interpolation of EMOS parameters to locations with NO training data; beats regionally-estimated and interpolated EMOS.
8. AI forecast models and their postprocessing,,Zied Ben Bouallègue et al.,2024,The Rise of Data-Driven Weather Forecasting: A First Statistical Assessment of Machine Learning–Based Weather Forecasts in an Operational-Like Context,Bulletin of the American Meteorological Society,10.1175/bams-d-23-0162.1,,159,False,False,First systematic assessment of AI forecast models against IFS - establishes where data-driven models win and where they are smooth/biased.
8. AI forecast models and their postprocessing,,Christopher Bülte et al.,2024,Uncertainty quantification for data-driven weather models,arXiv (Cornell University),10.1175/AIES-D-24-0049.1,2403.13458,2,False,False,"Systematic comparison of UQ routes for a deterministic AI model (Pangu): initial-condition ensembles vs statistical/ML post-hoc UQ, over Europe."
8. AI forecast models and their postprocessing,7,Belinda Trotta et al.,2025,Statistical Postprocessing Yields Accurate Probabilistic Forecasts from Artificial Intelligence Weather Models,Artificial Intelligence for the Earth Systems,10.1175/aies-d-25-0037.1,,1,False,False,"The most directly relevant paper: an EXISTING operational postprocessing system (IMPROVER) applied unmodified to AIFS at 569 stations. Postprocessing helps AIFS about as much as it helps NWP, and blending AIFS with NWP beats either."
8. AI forecast models and their postprocessing,,Tilmann Gneiting et al.,2025,Probabilistic measures afford fair comparisons of AIWP and NWP model output,arXiv preprint,,2506.03744,1,True,False,Potential CRPS: fair comparison of AI and physical models by subjecting both to the same IDR postprocessing. The correct way to frame 'is AIFS better here'.
8. AI forecast models and their postprocessing,,Simon Lang et al.,2026,AIFS-CRPS: ensemble forecasting using a model trained with a loss function based on the continuous ranked probability score,npj Artificial Intelligence,10.1038/s44387-026-00073-7,,11,False,False,AIFS-CRPS: ECMWF's AI ensemble trained on almost-fair CRPS; outperforms the IFS ensemble for most variables at medium range. The user's forecast source.
9. Preprints: frontier methods,,Lea Friedli et al.,2019,Area-covering postprocessing of ensemble precipitation forecasts using topographical and seasonal conditions,arXiv preprint,,1912.11827,0,True,False,Area-covering EMOS using topographical and seasonal predictors instead of station identity - how to postprocess where there is no station.
9. Preprints: frontier methods,,Regula Keller et al.,2020,Seamless multi-model postprocessing for air temperature forecasts in complex topography,arXiv preprint,,2008.07857,0,True,False,"Multi-model EMOS blending a convection-permitting LAM with a global ensemble for temperature at Swiss stations; 30% over high-res DMO, 8-12% over single-model EMOS; worst in winter."
9. Preprints: frontier methods,,Anna Vaughan et al.,2021,Convolutional conditional neural processes for local climate downscaling,arXiv preprint,,2101.07950,0,True,False,convCNP downscaling: trained model predicts at ARBITRARY locations including stations with no training data. The 'unseen station' architecture.
9. Preprints: frontier methods,,Simon Lang et al.,2024,AIFS -- ECMWF's data-driven forecasting system,arXiv preprint,,2406.01465,0,True,False,AIFS model description (graph transformer encoder-processor-decoder).
9. Preprints: frontier methods,12,Moritz Feik et al.,2024,Graph Neural Networks and Spatial Information Learning for Post-Processing Ensemble Weather Forecasts,arXiv preprint,,2407.11050,0,True,False,GNN postprocessing: stations as graph nodes with attention over neighbours; substantial gain over a strong DRN baseline for 2m temperature over Europe.
9. Preprints: frontier methods,,David Jobst,2024,Gradient-Boosted Mixture Regression Models for Postprocessing Ensemble Weather Forecasts,arXiv preprint,,2412.09583,0,True,False,"MIXSAMOS-GB: gradient-boosted MIXTURE regression on standardized anomalies; outperforms state-of-the-art postprocessing for German 2m temperature. Pooled-training + boosting, no deep learning."
9. Preprints: frontier methods,,Christopher Bülte et al.,2024,Uncertainty quantification for data-driven weather models,arXiv preprint,10.1175/AIES-D-24-0049.1,2403.13458,2,True,False,Preprint version of the Pangu UQ study.
9. Preprints: frontier methods,,David Jobst et al.,2024,Time Series based Ensemble Model Output Statistics for Temperature Forecasts Postprocessing,arXiv preprint,,2402.00555,4,True,False,Preprint version of the time-series EMOS work.
9. Preprints: frontier methods,,Gabriel Moldovan et al.,2025,An update to ECMWF's machine-learned weather forecast model AIFS,arXiv preprint,,2509.18994,0,True,False,"AIFS update: bounding layers for physical consistency, expanded variable set."
9. Preprints: frontier methods,9,Pedro Sousa et al.,2026,Earth observation embeddings are effective sub-grid descriptors for probabilistic weather downscaling,arXiv preprint,,2608.12271,0,True,False,"Earth-observation foundation-model embeddings as learned sub-grid surface descriptors; +11.5% CRPS for 2m temperature at stations held out in SPACE and time, and works with AI-model input."
